,path,payload_1B,payload_1B_list
10,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range1750.json,0.005580000000000001,"[0.003 0.006 0.008 0.004 0.004 0.001 0.006 0.002 0.004 0.009 0.002 0.002
 0.005 0.004 0.005 0.008 0.005 0.001 0.007 0.011 0.005 0.009 0.004 0.006
 0.004 0.003 0.006 0.004 0.007 0.004 0.01  0.009 0.004 0.006 0.006 0.008
 0.005 0.008 0.014 0.004 0.005 0.004 0.009 0.004 0.01  0.006 0.007 0.005
 0.004 0.008 0.009 0.007 0.007 0.005 0.004 0.004 0.01  0.005 0.006 0.006
 0.008 0.004 0.005 0.003 0.002 0.005 0.009 0.004 0.006 0.005 0.007 0.006
 0.005 0.002 0.007 0.005 0.005 0.005 0.006 0.008 0.007 0.002 0.005 0.008
 0.014 0.005 0.003 0.004 0.003 0.002 0.011 0.011 0.003 0.003 0.002 0.003
 0.008 0.005 0.003 0.001]"
11,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range2150.json,0.006080000000000001,"[0.008 0.007 0.005 0.002 0.006 0.005 0.005 0.005 0.008 0.011 0.001 0.006
 0.008 0.004 0.005 0.005 0.006 0.011 0.002 0.004 0.006 0.009 0.007 0.009
 0.006 0.004 0.003 0.002 0.008 0.005 0.007 0.001 0.005 0.003 0.01  0.008
 0.006 0.006 0.007 0.004 0.012 0.002 0.006 0.007 0.007 0.005 0.005 0.006
 0.009 0.002 0.011 0.005 0.006 0.003 0.004 0.007 0.011 0.008 0.007 0.004
 0.008 0.004 0.009 0.005 0.009 0.002 0.008 0.011 0.011 0.007 0.006 0.007
 0.004 0.005 0.006 0.011 0.009 0.007 0.009 0.003 0.005 0.008 0.007 0.004
 0.006 0.012 0.005 0.006 0.004 0.003 0.009 0.001 0.003 0.003 0.003 0.001
 0.006 0.006 0.009 0.009]"
12,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range1550.json,0.006100000000000001,"[0.004 0.006 0.007 0.002 0.004 0.006 0.001 0.005 0.006 0.007 0.002 0.003
 0.006 0.005 0.008 0.005 0.008 0.004 0.007 0.007 0.008 0.003 0.008 0.008
 0.01  0.009 0.009 0.006 0.01  0.003 0.01  0.005 0.006 0.008 0.003 0.006
 0.004 0.01  0.004 0.006 0.004 0.007 0.007 0.008 0.008 0.006 0.008 0.004
 0.006 0.007 0.003 0.009 0.004 0.005 0.005 0.007 0.007 0.002 0.004 0.005
 0.008 0.007 0.004 0.007 0.006 0.004 0.003 0.004 0.002 0.006 0.01  0.005
 0.008 0.003 0.008 0.008 0.007 0.007 0.009 0.004 0.008 0.006 0.01  0.008
 0.009 0.011 0.006 0.005 0.003 0.002 0.003 0.007 0.007 0.007 0.013 0.004
 0.005 0.006 0.006 0.009]"
13,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range1500.json,0.005940000000000001,"[0.008 0.006 0.004 0.004 0.006 0.007 0.004 0.006 0.004 0.006 0.005 0.007
 0.011 0.001 0.004 0.002 0.005 0.005 0.007 0.004 0.009 0.005 0.008 0.005
 0.007 0.006 0.006 0.007 0.006 0.008 0.009 0.008 0.003 0.003 0.008 0.007
 0.006 0.007 0.006 0.005 0.005 0.007 0.009 0.005 0.007 0.009 0.002 0.006
 0.005 0.005 0.008 0.001 0.008 0.004 0.005 0.008 0.004 0.006 0.002 0.008
 0.007 0.007 0.009 0.003 0.007 0.002 0.006 0.009 0.003 0.007 0.005 0.008
 0.007 0.007 0.004 0.004 0.006 0.006 0.005 0.012 0.005 0.009 0.003 0.007
 0.003 0.01  0.004 0.006 0.004 0.003 0.009 0.008 0.006 0.009 0.005 0.002
 0.008 0.008 0.009 0.003]"
14,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range1900.json,0.006030000000000001,"[0.006 0.007 0.004 0.003 0.006 0.002 0.005 0.01  0.01  0.008 0.007 0.003
 0.007 0.008 0.005 0.007 0.007 0.004 0.009 0.006 0.011 0.005 0.007 0.008
 0.007 0.004 0.002 0.008 0.007 0.005 0.006 0.004 0.005 0.009 0.008 0.006
 0.002 0.004 0.009 0.01  0.003 0.005 0.004 0.006 0.004 0.006 0.008 0.004
 0.007 0.007 0.007 0.003 0.004 0.005 0.006 0.008 0.007 0.004 0.006 0.007
 0.005 0.01  0.009 0.007 0.006 0.009 0.006 0.007 0.005 0.005 0.004 0.01
 0.009 0.005 0.004 0.004 0.008 0.007 0.005 0.004 0.002 0.005 0.007 0.002
 0.008 0.003 0.004 0.009 0.004 0.006 0.004 0.01  0.005 0.002 0.003 0.006
 0.008 0.008 0.007 0.009]"
15,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range500.json,0.006390000000000002,"[0.01  0.006 0.006 0.008 0.011 0.005 0.006 0.002 0.006 0.01  0.007 0.007
 0.006 0.005 0.004 0.009 0.005 0.007 0.004 0.007 0.006 0.011 0.006 0.006
 0.007 0.009 0.003 0.006 0.006 0.003 0.01  0.007 0.007 0.009 0.005 0.006
 0.006 0.008 0.004 0.01  0.008 0.006 0.006 0.002 0.004 0.006 0.01  0.01
 0.01  0.003 0.004 0.006 0.006 0.005 0.007 0.003 0.002 0.007 0.005 0.007
 0.009 0.004 0.006 0.008 0.007 0.007 0.004 0.011 0.003 0.003 0.005 0.006
 0.009 0.007 0.008 0.008 0.007 0.004 0.009 0.006 0.008 0.004 0.008 0.001
 0.006 0.006 0.003 0.008 0.006 0.007 0.009 0.007 0.01  0.005 0.006 0.003
 0.006 0.004 0.01  0.008]"
16,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range1150.json,0.005940000000000001,"[0.005 0.005 0.007 0.006 0.004 0.004 0.006 0.006 0.003 0.004 0.005 0.005
 0.007 0.003 0.005 0.003 0.007 0.012 0.005 0.009 0.007 0.008 0.01  0.007
 0.005 0.008 0.006 0.007 0.009 0.006 0.006 0.004 0.009 0.009 0.007 0.005
 0.007 0.003 0.009 0.008 0.004 0.007 0.003 0.007 0.008 0.006 0.006 0.003
 0.008 0.007 0.004 0.005 0.005 0.001 0.002 0.007 0.008 0.008 0.005 0.003
 0.006 0.01  0.007 0.005 0.007 0.005 0.006 0.004 0.012 0.008 0.006 0.005
 0.004 0.003 0.01  0.004 0.008 0.003 0.007 0.007 0.006 0.002 0.006 0.003
 0.007 0.006 0.008 0.003 0.002 0.003 0.008 0.005 0.003 0.002 0.009 0.004
 0.008 0.008 0.008 0.008]"
17,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range2450.json,0.005850000000000001,"[0.004 0.002 0.008 0.008 0.009 0.014 0.01  0.008 0.005 0.01  0.003 0.005
 0.007 0.004 0.002 0.009 0.003 0.006 0.009 0.006 0.003 0.006 0.003 0.009
 0.004 0.005 0.005 0.004 0.007 0.003 0.004 0.003 0.006 0.009 0.006 0.005
 0.007 0.011 0.007 0.01  0.004 0.007 0.006 0.004 0.008 0.005 0.006 0.005
 0.004 0.005 0.009 0.007 0.007 0.008 0.004 0.005 0.003 0.004 0.003 0.008
 0.008 0.007 0.006 0.005 0.006 0.01  0.008 0.004 0.002 0.01  0.003 0.005
 0.002 0.003 0.008 0.008 0.007 0.001 0.006 0.003 0.004 0.011 0.005 0.005
 0.004 0.005 0.005 0.009 0.005 0.008 0.005 0.007 0.005 0.003 0.004 0.006
 0.005 0.004 0.006 0.006]"
18,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range1600.json,0.006110000000000001,"[0.004 0.006 0.006 0.011 0.008 0.008 0.004 0.005 0.004 0.004 0.009 0.006
 0.006 0.006 0.    0.008 0.005 0.003 0.005 0.004 0.007 0.009 0.005 0.003
 0.007 0.008 0.009 0.002 0.005 0.005 0.008 0.007 0.008 0.005 0.006 0.005
 0.004 0.011 0.009 0.007 0.007 0.007 0.008 0.006 0.001 0.01  0.007 0.004
 0.011 0.005 0.003 0.006 0.003 0.003 0.008 0.012 0.007 0.007 0.007 0.004
 0.008 0.01  0.006 0.006 0.002 0.005 0.006 0.006 0.007 0.009 0.008 0.009
 0.008 0.002 0.011 0.006 0.003 0.006 0.005 0.005 0.006 0.008 0.003 0.007
 0.005 0.002 0.006 0.004 0.005 0.009 0.008 0.007 0.006 0.004 0.009 0.005
 0.006 0.003 0.008 0.004]"
19,/home/jmhare1/gatewayPlacement/lora_graph_gw/Pre_Study/ConnectedComponent/files/sensors_transmissionrange_Range600.json,0.005640000000000001,"[0.008 0.005 0.005 0.006 0.006 0.009 0.004 0.006 0.006 0.006 0.005 0.005
 0.003 0.008 0.006 0.004 0.005 0.004 0.004 0.005 0.003 0.008 0.004 0.004
 0.005 0.006 0.007 0.006 0.009 0.002 0.007 0.005 0.003 0.008 0.01  0.006
 0.002 0.01  0.005 0.008 0.004 0.006 0.006 0.007 0.011 0.005 0.004 0.008
 0.002 0.003 0.01  0.009 0.01  0.005 0.007 0.005 0.006 0.003 0.003 0.008
 0.005 0.006 0.007 0.002 0.006 0.002 0.007 0.009 0.004 0.011 0.006 0.008
 0.007 0.004 0.007 0.006 0.003 0.001 0.005 0.007 0.008 0.004 0.008 0.006
 0.003 0.003 0.006 0.003 0.006 0.005 0.006 0.006 0.004 0.001 0.006 0.003
 0.008 0.003 0.007 0.005]"
