,lon,lat,BestGW,SF,NumberOfSensors,NumGWs
0,49.81608239933839,9.963393299984267,145,7,1,5
1,49.82200599932769,9.9402933999844,1,7,1,5
2,49.81407999932759,9.939633099984418,2,7,1,8
3,49.775813599332544,9.949010499984388,3,7,1,5
4,49.791381599318896,9.916864799984625,416,7,1,3
5,49.793088999329875,9.94386099998442,5,7,1,4
6,49.812094599345535,9.977387799984196,86,7,1,5
7,49.81179079934537,9.977066999984194,86,7,1,5
8,49.78124819934406,9.97324479998425,280,7,1,3
9,49.78124809934414,9.973391999984242,280,7,1,3
10,49.78124829934405,9.973212799984251,280,7,1,3
11,49.78124929934384,9.972785699984245,280,7,1,3
12,49.78122949934416,9.973435199984257,280,7,1,3
13,49.78124809934411,9.973314199984236,280,7,1,3
14,49.78124899934391,9.97291689998425,280,7,1,3
15,49.78122629934387,9.972860299984244,280,7,1,3
16,49.78124919934385,9.97282219998425,280,7,1,3
17,49.78122869934398,9.973051699984254,280,7,1,3
18,49.7812299993441,9.97332109998424,280,7,1,3
19,49.78123039934406,9.97323069998425,280,7,1,3
20,49.78124819934409,9.973280299984252,280,7,1,3
21,49.78124879934394,9.973003899984239,280,7,1,3
22,49.78124859934398,9.973077999984248,280,7,1,3
23,49.781227499343935,9.97298269998426,280,7,1,3
24,49.781230699344036,9.973169999984256,280,7,1,3
25,49.78124909934388,9.97286599998425,280,7,1,3
26,49.7812265993439,9.972933299984254,280,7,1,3
27,49.78124839934403,9.973178399984253,280,7,1,3
28,49.78122979934412,9.973369399984245,280,7,1,3
29,49.77954259932781,9.938435199984461,990,7,1,4
30,49.76189639933865,9.961473399984332,30,7,1,6
31,49.79284989932644,9.93582719998448,709,7,1,3
32,49.791544299339876,9.96532379998428,725,7,1,2
33,49.761565199330875,9.944548599984426,33,7,1,6
34,49.779567399327895,9.938595699984473,990,7,1,4
35,49.788722899328675,9.940904799984441,5,7,1,5
36,49.78865699932869,9.940890199984423,5,7,1,5
37,49.788693899328976,9.94157829998442,5,7,1,5
38,49.78911449932898,9.941614699984425,5,7,1,5
39,49.788134599328686,9.940874699984427,287,7,1,4
40,49.78827389932869,9.940909699984438,287,7,1,4
41,49.78597309932823,9.939704799984455,287,7,1,4
42,49.791289399330616,9.945480499984399,5,7,1,3
43,49.79248239933188,9.948384199984387,5,7,1,3
44,49.79255389933184,9.948244199984392,5,7,1,3
45,49.79262329933129,9.947035899984382,5,7,1,3
46,49.7925811993312,9.946853599984381,5,7,1,3
47,49.79293969933106,9.946520599984387,5,7,1,3
48,49.79307839933106,9.94653629998438,5,7,1,3
49,49.79280009933168,9.947899699984392,5,7,1,3
50,49.79292099933173,9.947999299984389,5,7,1,3
51,49.80728999932903,9.942591899984418,143,7,1,5
52,49.78632829934555,9.976314999984224,52,7,1,4
53,49.808604799323845,9.930404499984506,383,7,1,4
54,49.799630599331145,9.947053599984383,143,7,1,4
55,49.78570509933062,9.945187899984402,287,7,1,3
56,49.751551499347464,9.978536399984243,56,7,1,6
57,49.751488099347505,9.978587899984257,56,7,1,6
58,49.751424799347525,9.978639499984242,56,7,1,6
59,49.773389499327784,9.938050399984462,990,7,1,6
60,49.779311399341935,9.968944899984269,280,7,1,3
61,49.78545599934531,9.975845699984234,52,7,1,4
62,49.79390579932446,9.931139099984495,709,7,1,2
63,49.78311009932469,9.931121299984522,65,7,1,5
64,49.78309699932465,9.931032099984504,65,7,1,5
65,49.787999899324376,9.93064419998452,65,7,1,4
66,49.81050939935299,9.991123399984142,66,7,1,8
67,49.788684599347704,9.980525099984202,52,7,1,5
68,49.80190759931587,9.909308599984676,454,7,1,2
69,49.766169048623986,9.93174567801787,406,7,1,5
70,49.76595775911064,9.931473367255968,406,7,1,5
71,49.76623837428157,9.932111417118264,406,7,1,5
72,49.76542555667545,9.932884711140396,406,7,1,5
73,49.765040903178104,9.933452834021184,406,7,1,5
74,49.76475605774008,9.932827171072038,406,7,1,5
75,49.764549613147196,9.932105499767271,406,7,1,5
76,49.764844385078256,9.932462181595355,406,7,1,5
77,49.78028608937499,9.971267475189793,280,7,1,3
78,49.77970576765381,9.970889839744213,280,7,1,3
79,49.78975620802591,9.920792783127593,416,7,1,3
80,49.789621441193695,9.919012419754575,416,7,1,3
81,49.78968610563703,9.91787668514554,416,7,1,3
82,49.81550409211033,9.98032803836351,86,7,1,5
83,49.81500231120121,9.98140473265682,86,7,1,5
84,49.81634449408194,9.980986956702397,86,7,1,5
85,49.81676441938043,9.981195785499715,86,7,1,5
86,49.815937949423244,9.980894550211623,86,7,1,5
87,49.81638266311077,9.982831026182748,86,7,1,5
88,49.81702501164409,9.982963135056353,86,7,1,5
89,49.81105373666792,9.976594883118267,86,7,1,5
90,49.811414924232686,9.976075538401922,86,7,1,5
91,49.81231065838829,9.976979421710054,86,7,1,5
92,49.76580418125884,9.931280330654577,406,7,1,5
93,49.76590633952822,9.932411079787277,406,7,1,5
94,49.764146229890265,9.931973704554904,406,7,1,5
95,49.81286489628709,9.977757658514511,86,7,1,5
96,49.81034780744411,9.984549919008387,66,7,1,7
97,49.78960326299426,9.935713898565893,65,7,1,5
98,49.823263755344556,9.960518438044161,98,7,1,5
99,49.78819359771994,9.935258071837556,65,7,1,5
100,49.785801323267165,9.93390039096716,65,7,1,5
101,49.78225441219151,9.971747881060136,280,7,1,3
102,49.78119474433464,9.973312328882084,280,7,1,3
103,49.78150985267996,9.971878003079933,280,7,1,3
104,49.78188086211418,9.972475308437044,280,7,1,3
105,49.78286867661574,9.971907751945846,52,7,1,4
106,49.78185373165231,9.974881550425728,52,7,1,4
107,49.7562242686879,9.943447934030551,624,7,1,6
108,49.78424494512908,9.965898621850707,280,7,1,3
109,49.782469895178046,9.970140692054843,280,7,1,3
110,49.809002027547315,9.992073073443809,66,7,1,8
111,49.81707697075663,9.983560366170565,86,7,1,5
112,49.793407525271036,9.932400970049018,709,7,1,3
113,49.79446095941051,9.908663809343842,922,7,1,1
114,49.796934754650074,9.94644381433128,5,7,1,5
115,49.796366047015816,9.94894344408941,5,7,1,3
116,49.797005181553565,9.931402943047633,709,7,1,2
117,49.79375146409686,9.934783974082809,709,7,1,3
118,49.796772934981924,9.990978804942273,882,7,1,4
119,49.8019883106837,9.9719522138779,787,7,1,4
120,49.802033230330494,9.973524815362145,787,7,1,4
121,49.80210209913985,9.973948550049506,787,7,1,4
122,49.7949890829041,9.939414422045093,5,7,1,4
123,49.823376099356516,9.97259280000615,796,7,1,4
124,49.80078037906877,9.939392053207555,709,7,1,3
125,49.78008949828998,9.971303473684285,280,7,1,3
126,49.7950634638601,9.930032040388152,709,7,1,2
127,49.80062776516654,9.969417592957553,787,7,1,4
128,49.800304705620334,9.968259787933494,787,7,1,4
129,49.80027691586374,9.966990928849288,203,7,1,3
130,49.80091849152843,9.966426336214152,203,7,1,3
131,49.80120170396735,9.966992358895117,203,7,1,3
132,49.800860036775624,9.967317018125566,203,7,1,3
133,49.80102772174941,9.968244814454453,787,7,1,4
