,id,x,y,height,environment
0,"[569070.2620565052, 5518419.915927616]",9.960079003487719,49.81424372508876,5.0,urban
1,"[568089.0535510054, 5515368.042436307]",9.94590725779667,49.786909977703154,5.0,urban
2,"[566401.9601031786, 5516438.803016197]",9.922655985284221,49.79672848210158,5.0,urban
3,"[570229.3453533974, 5517483.949520261]",9.976018562476103,49.80569196991314,5.0,urban
4,"[569578.9055106228, 5515394.275332096]",9.96660620748914,49.78697511236322,5.0,urban
5,"[567521.6933157289, 5512947.049550056]",9.937606283576491,49.76520157739878,5.0,urban
6,"[568516.0578957266, 5516829.19842488]",9.952096024001417,49.80000177814394,5.0,urban
7,"[569071.9434780711, 5511071.151709196]",9.958797200178278,49.74815512286722,5.0,urban
8,"[567302.0094967709, 5513325.441283722]",9.934621612861408,49.76862918038089,5.0,urban
9,"[565320.6040488735, 5516053.609471067]",9.907567791524738,49.793382986560886,5.0,urban
10,"[569740.7500597492, 5519306.394625848]",9.96955670265617,49.82213830040296,5.0,urban
11,"[571819.2494481524, 5516492.004417416]",9.997927509565098,49.79658323744926,5.0,urban
12,"[564034.4916530137, 5517856.014320254]",9.889997888299773,49.8097310693424,5.0,urban
13,"[568289.6867428927, 5509968.985196279]",9.947747041425568,49.73833244348092,5.0,urban
14,"[566256.6731556555, 5519743.665822372]",9.921201491041495,49.82646577583081,5.0,urban
15,"[569599.0451293958, 5509117.436764215]",9.965764059365648,49.730524233075315,5.0,urban
16,"[569412.2593329401, 5514431.809352391]",9.964119672913942,49.77833882899959,5.0,urban
17,"[568763.7400754524, 5520795.612681243]",9.956240045832159,49.83564375208443,5.0,urban
18,"[571452.0330744081, 5515760.444126304]",9.992691358126201,49.79004812001504,5.0,urban
19,"[566826.3158064007, 5513788.511591689]",9.928096105839899,49.772846770631226,5.0,urban
20,"[563950.5174637524, 5516297.280595876]",9.888574281132007,49.79572189974822,5.0,urban
21,"[566606.1935469443, 5515392.639542019]",9.925314141973283,49.78729749454557,5.0,urban
