,id,x,y,height,environment
0,"[569603.154684341, 5518599.633968904]",9.967517342780484,49.81579834945981,5.0,urban
1,"[567617.8142485248, 5518823.980908664]",9.939963220781967,49.81804300129816,5.0,urban
2,"[567552.4449766887, 5514496.863096779]",9.938302303293492,49.77913590729563,5.0,urban
3,"[566535.2986429767, 5515858.318039318]",9.92440908897492,49.79149329869055,5.0,urban
4,"[567790.1383767694, 5515659.309907243]",9.941806050378519,49.78956321415678,5.0,urban
5,"[570685.8756636704, 5518405.550873111]",9.98253002344857,49.81392635375306,5.0,urban
6,"[569810.9752691208, 5514803.69255165]",9.96972365666797,49.78163700748872,5.0,urban
7,"[569284.9824112164, 5511971.17728864]",9.961914065169822,49.756224697725656,5.0,urban
8,"[569274.1228512529, 5516421.290583755]",9.962555771424727,49.796246409406706,5.0,urban
9,"[567287.3532002806, 5512999.727042227]",9.934361800270366,49.76570160221563,5.0,urban
10,"[567498.8529445556, 5517239.827963934]",9.938034357626789,49.80380988854483,5.0,urban
11,"[567825.6162582303, 5516459.480243328]",9.942438515779422,49.796755265979094,5.0,urban
12,"[570492.8185008669, 5511460.104432389]",9.978587933362066,49.751488132688436,5.0,urban
13,"[567280.4940916881, 5515056.246090736]",9.934622216697932,49.78419707162986,5.0,urban
14,"[571032.4370133311, 5516243.374473384]",9.986951036856288,49.7944409190464,5.0,urban
15,"[565499.1650271678, 5516190.212891043]",9.910071419659785,49.79459203908797,5.0,urban
16,"[569703.905090828, 5519302.200141767]",9.969043796844971,49.8221048625558,5.0,urban
17,"[568466.3977644838, 5511494.644726464]",9.950467188007174,49.75203293583463,5.0,urban
18,"[570952.6188395277, 5517737.855208607]",9.986115144054367,49.80789026853987,5.0,urban
19,"[566770.5659925356, 5516705.000097128]",9.927822806196092,49.79908155496918,5.0,urban
20,"[571887.3534145771, 5516517.727696935]",9.99887842031794,49.79680641505698,5.0,urban
21,"[569479.9863045185, 5517081.5619701985]",9.96553386992879,49.802160496284166,5.0,urban
22,"[568780.4336951154, 5517129.971813324]",9.955822492243644,49.802676429041675,5.0,urban
23,"[569136.3232128819, 5518364.799955608]",9.960987303490894,49.81374045341018,5.0,urban
24,"[568426.474785603, 5516602.340386076]",9.950811408203041,49.797971834439444,5.0,urban
25,"[563471.9003511801, 5517768.4523574]",9.882165255990335,49.8090033776042,5.0,urban
26,"[568097.5441338317, 5510795.705427002]",9.945225247177078,49.74578911231069,5.0,urban
27,"[567096.753931657, 5513373.248475238]",9.931779873992616,49.76908207604007,5.0,urban
28,"[566256.6731556555, 5519743.665822372]",9.921201491041495,49.82646577583081,5.0,urban
29,"[570744.509085816, 5519334.489630989]",9.983514225420864,49.82227339868913,5.0,urban
30,"[569572.8344653001, 5509213.877408289]",9.965417615866743,49.73139457390619,5.0,urban
31,"[568845.3582255475, 5514255.006744753]",9.956215423540002,49.77681405960708,5.0,urban
32,"[566271.7944142926, 5516823.043566306]",9.92091311820523,49.80019842061069,5.0,urban
33,"[564182.1161847302, 5516255.106785868]",9.891784903003037,49.795317901768485,5.0,urban
34,"[568873.7534276143, 5515732.569258794]",9.956871456902949,49.79009872506681,5.0,urban
35,"[564923.9345610056, 5515930.48084461]",9.902036600790119,49.79231868690865,5.0,urban
36,"[568763.7400754524, 5520795.612681243]",9.956240045832159,49.83564375208443,5.0,urban
37,"[564923.4888354446, 5518712.349928172]",9.902495422605606,49.817336755370576,5.0,urban
38,"[572326.1162736663, 5517475.146458777]",10.005152314702455,49.80536375670371,5.0,urban
39,"[565865.564616936, 5516003.08959166]",9.915129923649843,49.792869108703876,5.0,urban
40,"[571635.792018176, 5516142.02884389]",9.995314263911547,49.793457823102784,5.0,urban
41,"[569509.3349162508, 5514524.987480056]",9.965484478830087,49.77916556543464,5.0,urban
42,"[568943.390969765, 5510941.240362539]",9.956990021467826,49.74700155827253,5.0,urban
43,"[568263.7130444113, 5515252.715513794]",9.948313064384694,49.785852995134476,5.0,urban
44,"[567608.7886191825, 5511963.588649097]",9.938644745880886,49.7563473068313,5.0,urban
45,"[566771.3295287295, 5514369.942007068]",9.927432345232942,49.77808181839267,5.0,urban
46,"[569543.9407369056, 5508015.094611702]",9.964803032933142,49.72061701608963,5.0,urban
47,"[570144.8810103564, 5516907.39901005]",9.974740775636125,49.80051689703809,5.0,urban
48,"[572317.6610150386, 5516126.545707858]",10.004783801718572,49.79323683401385,5.0,urban
49,"[563166.3623387637, 5516730.162675059]",9.87775040094139,49.79969796806374,5.0,urban
50,"[569926.1452485506, 5509640.54689673]",9.970396052891001,49.735190730236916,5.0,urban
51,"[564334.9001760607, 5516058.282340393]",9.893874919341718,49.793531450434415,5.0,urban
