,id,x,y,height,environment
0,"[569088.1768739107, 5518465.636331015]",9.960336120271375,49.814652829381146,5.0,urban
1,"[567921.8761566386, 5515267.506785713]",9.943567564357725,49.7860247767928,5.0,urban
2,"[566136.9578259081, 5516326.223543643]",9.918955115797797,49.795745286453716,5.0,urban
3,"[570241.3699832011, 5517413.346854141]",9.976172881357725,49.805055629229635,5.0,urban
4,"[569633.9212932856, 5515450.619117676]",9.967380476118514,49.78747544055941,5.0,urban
5,"[567428.877166306, 5513030.447996705]",9.936332067281828,49.765962019227025,5.0,urban
6,"[568508.9694094519, 5516695.2577261105]",9.951973918506871,49.7987980420344,5.0,urban
7,"[569213.5778405485, 5510695.925219836]",9.960696306022152,49.74476435624808,5.0,urban
8,"[571869.6072845199, 5516468.810270554]",9.998622828925765,49.796368625428244,5.0,urban
9,"[569756.4174444332, 5519312.719207228]",9.969775619352331,49.82219335556076,5.0,urban
10,"[564473.1909527067, 5517421.1600549985]",9.89602226746983,49.80577333558772,5.0,urban
11,"[568915.6247980549, 5509334.771268888]",9.95632064977518,49.732557435568616,5.0,urban
12,"[566256.6731556555, 5519743.665822372]",9.921201491041495,49.82646577583081,5.0,urban
13,"[569654.9848096736, 5508953.320791121]",9.966510858704048,49.72904183295955,5.0,urban
14,"[569455.5980271224, 5514503.983398046]",9.964734434685576,49.77898288933964,5.0,urban
15,"[564978.2988238244, 5516020.989279302]",9.902806956801147,49.7931267713362,5.0,urban
16,"[568763.7400754524, 5520795.612681243]",9.956240045832159,49.83564375208443,5.0,urban
17,"[568156.8109001227, 5511907.970965714]",9.946242373526802,49.755785240626565,5.0,urban
18,"[566747.0516104386, 5514263.447582082]",9.927076905766182,49.77712678867949,5.0,urban
19,"[563263.6994751303, 5516641.939114263]",9.879088449403651,49.798894294956305,5.0,urban
