,id,x,y,height,environment
0,"[569789.877388546, 5519018.0997659275]",9.970187732653256,49.81953993792797,5.0,urban
1,"[567617.8142485248, 5518823.980908664]",9.939963220781967,49.81804300129816,5.0,urban
2,"[567602.9487246005, 5514905.670257414]",9.93907476090661,49.78280670401937,5.0,urban
3,"[566753.3930434474, 5516189.588382623]",9.927495665524997,49.79444826929649,5.0,urban
4,"[568885.1600748072, 5516381.1800772855]",9.957144867888918,49.795930451470106,5.0,urban
5,"[569772.5759840119, 5514875.362869165]",9.969203202746336,49.78228600830813,5.0,urban
6,"[568167.812897167, 5512651.97549233]",9.946525343622692,49.76247497514069,5.0,urban
7,"[567722.1073712003, 5517015.832162897]",9.941097439930461,49.80177030987863,5.0,urban
8,"[569409.7850362861, 5511282.494542897]",9.963523778472796,49.75001686282114,5.0,urban
9,"[567156.7343047673, 5513199.646601966]",9.932582755512978,49.7675141350371,5.0,urban
10,"[570627.708447664, 5517237.091677937]",9.981509104179784,49.803425215443966,5.0,urban
11,"[565704.7600857733, 5516280.3349776715]",9.91294289421455,49.79538006092903,5.0,urban
12,"[568996.494202811, 5518236.630504349]",9.959021204283147,49.81260391267684,5.0,urban
13,"[569441.5660822392, 5517111.354832426]",9.965005366359351,49.802432872594245,5.0,urban
14,"[568413.5189270765, 5515707.335998061]",9.950473854258291,49.789924415309436,5.0,urban
15,"[563411.4181616664, 5517090.336864727]",9.881214028257434,49.8029112825745,5.0,urban
16,"[571445.3508501467, 5516341.539215248]",9.992705355229432,49.79527471812626,5.0,urban
17,"[568285.223803829, 5511314.433109831]",9.947920862087322,49.75043285946362,5.0,urban
18,"[566256.6731556555, 5519743.665822372]",9.921201491041495,49.82646577583081,5.0,urban
19,"[570744.509085816, 5519334.489630989]",9.983514225420864,49.82227339868913,5.0,urban
20,"[569510.1429481135, 5509355.781635373]",9.964573109106697,49.73267799236125,5.0,urban
21,"[572191.5923428793, 5517012.331638313]",10.0031970549918,49.801217870434556,5.0,urban
22,"[568845.3582255475, 5514255.006744753]",9.956215423540002,49.77681405960708,5.0,urban
23,"[565078.9699846365, 5515981.118287407]",9.90419881940422,49.7927572969766,5.0,urban
24,"[568763.7400754524, 5520795.612681243]",9.956240045832159,49.83564375208443,5.0,urban
25,"[564923.4888354446, 5518712.349928172]",9.902495422605606,49.817336755370576,5.0,urban
26,"[572195.4388296548, 5516143.983724628]",10.003089157345082,49.793408364137214,5.0,urban
27,"[567221.4612358762, 5512776.405713095]",9.933408378636061,49.76370059748113,5.0,urban
28,"[568794.9462141317, 5510781.790304369]",9.95490164022541,49.74558459320958,5.0,urban
29,"[569651.6547772015, 5508833.664865827]",9.966443292449812,49.727966129249815,5.0,urban
30,"[570058.3012133224, 5516841.956806668]",9.97352603576296,49.79993848322663,5.0,urban
31,"[564114.61687174, 5516185.1329171695]",9.89083560209932,49.794695819726584,5.0,urban
