,id,x,y,height,environment
0,"[569061.2684452772, 5518395.718705326]",9.959949705737266,49.81402715294306,5.0,urban
1,"[568065.7803104131, 5515325.958468834]",9.945576619930824,49.78653414833592,5.0,urban
2,"[566132.6953851334, 5516263.025024726]",9.918885143089758,49.79517739820662,5.0,urban
3,"[570250.46203913, 5517551.707911119]",9.976324244955975,49.806298852764755,5.0,urban
4,"[569569.0836241067, 5515420.397763046]",9.966474454461157,49.78721117209904,5.0,urban
5,"[567716.0954395416, 5512863.226385939]",9.940290786536613,49.76442586409986,5.0,urban
6,"[568160.7591311672, 5516841.964434619]",9.947161762769186,49.800157037774916,5.0,urban
7,"[569071.9434780711, 5511071.151709196]",9.958797200178278,49.74815512286722,5.0,urban
8,"[567127.9715817139, 5513250.503870725]",9.932192164850372,49.767974719690336,5.0,urban
9,"[564743.2218752911, 5516196.938267247]",9.899570541064538,49.79473452424541,5.0,urban
10,"[569732.871727487, 5519302.841563312]",9.969446553762038,49.82210726363036,5.0,urban
11,"[570642.6991576499, 5516579.431117995]",9.98159780888268,49.79750908132637,5.0,urban
12,"[568984.5253924461, 5516772.392161931]",9.95859478115319,49.79943725384418,5.0,urban
13,"[564119.9959054906, 5518477.809420569]",9.891288833161768,49.81531390082573,5.0,urban
14,"[568289.6867428927, 5509968.985196279]",9.947747041425568,49.73833244348092,5.0,urban
15,"[566256.6731556555, 5519743.665822372]",9.921201491041495,49.82646577583081,5.0,urban
16,"[569599.0451293958, 5509117.436764215]",9.965764059365648,49.730524233075315,5.0,urban
17,"[572041.6414478854, 5516566.70977138]",10.001030996551663,49.79722841397447,5.0,urban
18,"[569428.9222340202, 5514478.427355018]",9.96435940310653,49.77875614469645,5.0,urban
19,"[568763.7400754524, 5520795.612681243]",9.956240045832159,49.83564375208443,5.0,urban
20,"[571452.0330744081, 5515760.444126304]",9.992691358126201,49.79004812001504,5.0,urban
21,"[563166.3623387637, 5516730.162675059]",9.87775040094139,49.79969796806374,5.0,urban
22,"[565339.945136779, 5515938.43553296]",9.907817119102653,49.792345094274715,5.0,urban
